SKU,Model,MSE,RMSE,MAE,R2
0003705-S,SVR,0.5526625225581359,0.7434127538306938,0.44027053338138467,0.3420684255260287
0003710-S,Ridge,20.921577895315107,4.574011138521102,3.8401533036052578,0.3343881345166835
0003711-S,Ridge,2.486477974423614,1.5768569923818754,1.1884841363102234,0.3585837072346727
0003715-S,Decision Tree,4.4,2.0976176963403033,1.6,0.3343419062027232
0003716-S,CatBoost,0.09338771082250383,0.30559402942875674,0.2468244769154681,0.054449427922148685
0003718-S,Linear Regression,0.37414662530488824,0.6116752613150938,0.37754682033340226,0.08744725535393105
0004155-S,CatBoost,1.2413782393301476,1.1141715484296606,0.7479280836215443,0.724138169037745
0004369-S,Gradient Boosting,414.7496051919736,20.36540216131205,10.896522733668938,0.04959073522110469
0004370-S,SVR,336.071131375917,18.3322429444931,10.992043358932026,0.012243109521217765
0004597-S,Random Forest,9.268088905486266,3.044353610454322,2.490214285714285,0.6115535756705166
0004609-S,Ridge,1.5628362107573266,1.2501344770692977,0.9997127562344953,0.1987991577763073
0004610-S,SVR,2.188710964096628,1.4794292697174232,1.2599582855900928,0.28502108506176815
0004631-S,Lasso,3.4737496344246717,1.863799783888997,1.2917158453821187,0.0075001044500938585
0004634-S,Ridge,1.7917302307801735,1.338555277446611,1.024387911247131,0.10413488460991327
0004657-X,SVR,5.116438886069528,2.2619546604805163,1.2714013553112666,0.09265123202707892
0004658-X,SVR,5.078409264299396,2.2535326188674074,1.2740239775838214,0.09939540140503322
0004660-X,SVR,5.078409264299396,2.2535326188674074,1.2740239775838214,0.09939540140503322
0004662-S,Elastic Net,17.3646898369766,4.167096091641828,2.082108692216995,0.05854091245307602
0004670-S,CatBoost,43.45224154315078,6.591831425571407,4.710413236652962,0.07054028784704225
0004671-S,Gradient Boosting,13.735321484157673,3.706119464366694,1.9250222550612053,0.33618076359381177
0004676-S,SVR,21.954501133510888,4.685563054053471,3.4097641279682103,0.3160328493021607
0004678-S,SVR,37.8293285684731,6.150555143112945,4.300331938770797,0.14720780965752778
0004679-S,SVR,8.93325990509162,2.9888559525496743,2.5443882889243676,0.15798433884261598
0004715-S,Elastic Net,10.529677009316996,3.244946380037272,1.864216522918487,0.11173199218415497
0004721-S,SVR,16.36466719712627,4.045326587202357,2.97291807827061,0.05345755286544751
0004725-S,Random Forest,0.1907152600714563,0.43670958321458475,0.26027535091171455,0.038477230473074386
0004726-S,Random Forest,0.19673816385510434,0.4435517600631344,0.2572215007215007,0.008111757230515604
0004735-S,Linear Regression,0.4301125980425473,0.6558297020130662,0.5400159767196371,0.37664840863398963
0004772-S,SVR,195.70078981735455,13.989309840637405,10.893282798748462,0.03765395973738961
0004780-S,Decision Tree,1.8,1.3416407864998738,0.6,0.7580645161290323
0004785-S,XGBoost,20.686061068121354,4.54819316521642,4.015058612823486,0.5561883486779371
0004792-S,Elastic Net,8.064652073864803,2.8398331066921525,2.191388264475622,0.12435916678992387
0004797-S,Linear Regression,23.17744188225757,4.8142955748746425,3.873280261277812,0.40739495187409624
0004817-S,Elastic Net,3.4570847182091553,1.859323726038356,1.4152236260754982,0.0502514510414408
0004824-S,CatBoost,10.226445481437514,3.1978814051552185,2.387468900024725,0.5071592539066259
0004825-S,Linear Regression,79.87263918600527,8.937149388144146,4.930776255707762,0.1756264304196704
0004826-S,Linear Regression,2.3308023530114363,1.5266965490926598,1.3508196721311472,0.20002122629692232
0004827-S,Ridge,30.672056269938448,5.538235844557223,4.857528683706876,0.4070557141133616
0004828-S,Linear Regression,19.942725631242055,4.465727894894857,3.9240791476407915,0.5462469729970205
0004833-S,Linear Regression,33.41259873647339,5.780363201086364,5.232511415525114,0.4328540449173629
0004845-S,Elastic Net,6.5648020080928315,2.5621869580678207,1.8072201207777558,0.27554637240392454
0004859-S,Elastic Net,87.47891553654438,9.353016387056337,8.475678545358019,0.07976725214803981
0004860-S,XGBoost,7.944467637414413,2.8185932018321505,1.9413102929134363,0.424416924301818
0004864-S,SVR,27.686546434226663,5.261800683627865,3.4506371033706245,0.27140667278350883
0004867-S,CatBoost,62.46251487945705,7.9033230276547,5.4915765419637514,0.5578937692034235
0004868-S,CatBoost,3.657399722952197,1.912432932929204,1.2069730626052875,0.1337737498271112
0004869-S,Lasso,36.75357917155744,6.06247302439833,4.745531808523935,0.4093174775999697
0004870-S,Ridge,11.193535450805372,3.3456741399612384,2.874538182040243,0.43474041676107533
0004871-S,Elastic Net,3.4571617766770952,1.85934444809914,1.305096694988392,0.32685071175277713
0004873-S,Elastic Net,2.1349701827936745,1.4611537163466664,1.1905235914791958,0.3910824478651843
0004874-S,CatBoost,96.40961249746522,9.818839671644772,7.35965567903276,0.21657517934443404
0004878-S,Lasso,77.63981133404441,8.811345602916981,6.350956130483689,0.20233070547214638
0004885-S,Elastic Net,52.15025388488684,7.221513268345274,4.819850908045215,0.0425724014787322
0004888-S,CatBoost,1038.1164536650901,32.21981461251896,23.20886877024062,0.29259823714647926
0004903-S,XGBoost,27.180756792740898,5.213516739470671,2.8978278036989247,0.47729313860113665
0004906-S,CatBoost,3.701579541583831,1.9239489446406395,1.5588892340418345,0.4528687173936309
0004915-S,Ridge,3.4878410198727403,1.8675762420508406,1.5602761826208298,0.3007051420552179
0004916-S,Lasso,103.70926524779307,10.183774607079297,9.062282728747759,0.2678707961416037
0004924-S,Linear Regression,137.0461816892892,11.706672528489435,9.712633181126332,0.2546837171456676
0004926-S,Lasso,29.937084934124513,5.471479227240519,4.157755280589926,0.15684844239774487
0004929-S,CatBoost,106.28541448819948,10.309481775928385,7.627491664063175,0.12241400881303188
0004931-S,Random Forest,126.82685486710554,11.261742976427119,8.471297212047212,0.3888044238317736
0004933-S,XGBoost,30.422584101731186,5.515667149287672,3.4517078368614116,0.1249185680965107
0004937-S,Elastic Net,7.668565345313741,2.769217460820609,1.7485123985223525,0.09188041963389915
0004938-S,Linear Regression,18.235383749296307,4.270290827250096,2.5710806697108066,0.20673142658807675
0004947-S,Ridge,2.9317925021779714,1.7122477922829895,1.4946323134728932,0.31016647007577147
0004963-S,CatBoost,18.248809176584246,4.271862495046422,3.1753184701115105,0.22528640288085755
0004964-S,Ridge,22.725802647281526,4.767158760444373,3.8076515791825747,0.20792168053795035
0004967-S,CatBoost,37.1844220743973,6.097903088308087,4.461009904533256,0.24626171470816283
0004971-S,Elastic Net,42.186680909905256,6.495127474492341,4.470391753489505,0.025350498088327122
0004976-S,Gradient Boosting,8.129650048311353,2.851254118508442,2.273841164396474,0.44100029379183403
0004978-S,CatBoost,35.34324952931145,5.945018883848179,3.4478163366407393,0.13143106435854746
0004982-S,CatBoost,1.5410435721354245,1.2413877605870878,1.0106248051981996,0.6532651962695295
0005000-S,CatBoost,7.548375066544216,2.747430629978529,2.1317367682062054,0.18040431583098981
0005003-S,Decision Tree,36.17611111111111,6.014658021127312,3.9000000000000004,0.15554322766570627
0005031-S,Elastic Net,34.3866322774639,5.864011619826814,3.3321830689937406,0.145083727908356
0005051-S,Linear Regression,12.187758720627174,3.4910970654834528,2.786423135464231,0.2025779835453948
0005053-S,XGBoost,25.66333844200797,5.065899568882902,3.22211195430201,0.3246489883682113
0005062-S,CatBoost,60.70381547239711,7.791265331921196,6.102407554368742,0.09779650398822648
0005073-S,Lasso,120.2160414818789,10.964307615252268,9.560829896262966,0.243865556760973
0005074-S,Linear Regression,5.998614874585602,2.4492069889222514,1.7547640791476409,0.016421447689405233
0005100-S,Decision Tree,5.569444444444445,2.359967043084383,1.5,0.29290752351097193
0005104-S,Random Forest,68.6696433149541,8.286714868689167,5.555788079204746,0.0533966799674469
0005109-S,Ridge,3.344709358012913,1.8288546574326001,1.3938095654454838,0.11463575817305238
0005206-S,Random Forest,24.901388860274874,4.990129142644995,3.6688534151034156,0.2002329509586579
0005208-S,Ridge,13.167096438758737,3.628649395954194,1.9186956123477148,0.0032384938883571746
0005209-S,CatBoost,3.181517709092828,1.7836809437488612,1.3953755562525179,0.3525051898579923
0005210-S,CatBoost,9.421284589479413,3.069411114445149,2.204814991334528,0.6608337547787412
0005274-S,Ridge,2.876592825256763,1.6960521292863504,1.2883914779516774,0.48450438308451815
0005276-S,Elastic Net,11.638724750172479,3.4115575255552235,2.318479621728719,0.17448624801753865
0005278-S,Elastic Net,3.336697916859197,1.8266630550977914,1.6117415444510808,0.28499330353017205
0005398-S,SVR,51.05068863751915,7.144976461649062,5.407460089266533,0.09500640600036958
0005399-S,Lasso,85.81776698861196,9.263787939531646,7.980281195079085,0.3032009825543035
0005415-S,SVR,3.0721951434273893,1.7527678521205794,1.3574683351688366,0.12377532881120235
0005418-S,Ridge,80.87613157196738,8.993115787754952,7.890414152895573,0.15054892928820562
0007130-A,Elastic Net,0.7877050965638642,0.8875275187642715,0.704963273067949,0.0071633678726295
0007372-A,Linear Regression,0.21752171411920396,0.46639223205281194,0.21254232410167223,0.022315504186144808
0007376-A,Linear Regression,0.5086259546908878,0.7131801698665546,0.390446957146353,0.03421293425756089
0007382-A,Linear Regression,0.1889967943642756,0.4347376155387012,0.16622937026058543,0.005280029661707264
0007727-A,Decision Tree,0.17897727272727273,0.42305705611332467,0.17045454545454544,0.0014409221902017544
0007728-A,Decision Tree,0.10317460317460318,0.3212080372198105,0.10317460317460317,0.0945273631840795
0007733-A,Random Forest,0.028300351617895837,0.16822708348507928,0.04621655328798186,0.1782416419099877
0007735-A,Gradient Boosting,0.6031177653108084,0.7766065704787775,0.42405452768875573,0.01128235194949423
0010003-A,Random Forest,0.6178710640999326,0.7860477492493269,0.4362454133168418,0.02336509222913874
0010007-A,Elastic Net,1.3730612926302266,1.1717769807562473,0.8176836803857714,0.035469280648723345
0010011-A,Decision Tree,1.4090909090909092,1.1870513506545997,0.5454545454545454,0.010159651669085834
0010021-A,Gradient Boosting,0.5736502545361762,0.7573970256979996,0.4689763322622833,0.02939010800163544
0010026-A,Decision Tree,1.0606060606060606,1.0298573010888745,0.42424242424242425,0.03266331658291466
0010030-A,Gradient Boosting,0.28569899531078286,0.5345081807706809,0.31549878657422237,0.07839033770715198
0010033-A,Decision Tree,1.9770833333333333,1.40608795362642,0.9083333333333333,0.22770182291666674
0010037-S,SVR,6.1305935894119425,2.476003551978862,1.3832890483071463,0.012786861608382716
0010054-A,Decision Tree,4.366666666666666,2.0896570691543306,0.9,0.24712643678160917
0010065-S,Linear Regression,118.24085686286773,10.87386117544581,8.11111111111111,0.38965655073334915
